Full Name,Birthday,Address,Phone,Position,Year of experiences,Education,Number of certificates,Number of Projects,GPA,TOEIC/IELTS,Result
Đỗ Thị Bích Sâm,1987,Hà Nội,913666692,Kĩ thuật viên vận hành thiết bị,1,Đại học Tôn Đức Thắng,0,2,3.743189812133649,có ,Rớt
Ninh Văn Tú,1988,Bình Dương,913668905,Nhân viên tư vấn dịch vụ,3,Đại học Công nghệ thông tin,4,4,2.607946566344982,có ,Đậu
Nguyễn Tú,1981,Bình Dương,913920623,Kĩ thuật viên vận hành thiết bị,5,Đại học Đồng Nai,1,6,2.62499288327193,có ,Đậu
Nguyễn Thanh Tùng,1997,Bình Dương,903413200,IT Helpdesk,0,Đại học HUTECH,1,0,2.6866176850376373,có ,Rớt
Huỳnh Kim Thanh Thảo,1986,Bình Dương,918264641,Chuyên viên phân tích dữ liệu,4,Đại học GTVT,4,5,2.775917790099716,không,Đậu
Đặng Đình Khanh,1980,Bình Dương,918373835,Kĩ thuật viên hạ tầng mạng,2,Đại học Quốc tế Sài Gòn,0,3,3.6193495348036286,không,Đậu
Lê Việt An,1991,Bình Dương,908755906,Chuyên viên hỗ trợ người dùng,0,Đại học Trần Đại Nghĩa,3,0,2.9158088140391176,có ,Rớt
Nguyễn Văn Sáu,1980,Tp. Hồ Chí Minh,903501984,Chuyên viên quản trị cơ sở dữ liệu,5,Đại học Hồng Bàng,0,6,3.9086024167443965,không,Đậu
Âu Thiếu Thái,1980,Thừa Thiên-Huế,919040090,Nhân viên tổng đài dịch vụ,1,Đại học Trần Đại Nghĩa,0,2,3.426792859527247,có ,Rớt
Lin Chiwen,1984,Tp. Đà Nẵng,908244616,Chuyên viên quản trị cơ sở dữ liệu,5,Đại học Khoa học Tự nhiên,4,6,3.2064952241030573,có ,Đậu
Nguyễn Vũ Quang,1991,Bình Dương,905123631,Kĩ thuật viên hạ tầng mạng,3,Đại học GTVT,0,4,3.241371521125073,có ,Đậu
Điền Quang Hiệp,1986,Tp. Hồ Chí Minh,903644242,Nhân viên tổng đài dịch vụ,3,Đại học Hoa sen,2,4,2.96222973332193,có ,Đậu
Đỗ Như Nghiêm,1980,Đồng Nai,919588161,Nhân viên bán hàng,2,Đại học Khoa học Tự nhiên,0,3,3.8906670915577837,không,Đậu
Lê Quốc Thắng,1994,Bình Dương,903811789,IT Helpdesk,0,Đại học Nguyễn Tất Thành,1,0,3.7165239781875177,có ,Rớt
Tzeng Guey Shian,1993,Bình Dương,903702892,Kĩ thuật viên vận hành thiết bị,0,Đại học Mở,0,0,2.968683453556724,không,Rớt
Nguyễn Hoàng,1994,Tp. Hồ Chí Minh,904232966,Kĩ thuật viên kiểm thử phần mềm,3,Đại học GTVT,2,4,3.724490610076834,có ,Đậu
Nguyễn Đình Lĩnh,1998,Bình Dương,903783463,Kĩ thuật viên bảo trì,1,Đại học Tôn Đức Thắng,3,2,3.809812802419618,không,Rớt
Phạm Việt Hùng,1988,Tp. Hồ Chí Minh,908008324,Biên dịch viên,2,Đại học sư phạm kĩ thuật,5,3,2.564146253414064,không,Đậu
